lon,lat,num
22.85,121.05,0
22.85,121.15,0
22.75,120.25,3
22.75,120.35,3
22.75,120.45,3
22.75,120.55,1
22.75,120.65,2
22.75,120.75,2
22.75,120.85,0
22.75,120.95,0
22.75,121.05,0
22.75,121.15,0
22.65,120.25,1
22.65,120.35,3
22.65,120.45,1
22.65,120.55,2
22.65,120.65,1
22.65,120.75,1
22.65,120.85,0
22.65,120.95,1
22.55,120.35,2
22.55,120.45,1
22.55,120.55,2
22.55,120.65,3
22.55,120.75,0
22.55,120.85,0
22.55,120.95,2
22.45,120.45,0
22.45,120.55,2
22.45,120.65,1
22.45,120.75,0
22.45,120.85,0
22.35,120.35,1
22.35,120.65,1
22.35,120.75,0
22.35,120.85,0
22.25,120.65,0
22.25,120.75,0
22.25,120.85,1
22.15,120.75,1
22.15,120.85,1
22.05,120.75,1
22.05,120.85,0
22.05,121.55,1
